"AGENCY_ID","scaled_log_n_train_rows","scaled_n_train_years_active","scaled_mean_log_wp_train","scaled_mean_log_prev_wp_train","scaled_mean_log_prev_poly_train","scaled_sd_log_wp_train","scaled_iqr_log_wp_train","scaled_sd_log_prev_poly_train","scaled_mean_active_producers_train_clean","scaled_n_products_train","scaled_n_states_train","scaled_product_hhi","scaled_state_hhi","scaled_pl_share_train","scaled_slope_mean_log_wp_by_year"
8611,0.369814,0.653219,0.980778,0.152844,-1.014191,-1.165115,-0.730987,-0.468467,-0.173962,-0.198966,-0.642924,-0.353511,0.628811,-1.023103,0.826834
8619,1.028268,0.653219,0.265725,-0.38166,-0.496639,0.609025,0.056783,0.212232,0.290381,1.180354,1.330703,-0.423029,-1.900091,-0.229333,0.381585
8623,0.338475,0.653219,-0.963777,-1.027923,-0.106132,1.652638,0.18074,0.655533,1.311934,0.567323,-0.642924,-0.422685,0.628811,0.152231,0.832501
8634,-0.351046,0.162718,-0.060816,-0.124788,0.751468,1.629385,2.130776,0.204498,-0.638304,-1.118514,-0.642924,0.044224,0.628811,1.901993,0.536281
8636,0.950513,0.653219,0.961175,0.552602,-0.196095,0.604564,0.904859,0.356794,2.890698,1.48687,1.330703,-0.526066,-0.111915,0.107321,-0.691381
8637,-1.367268,0.162718,-0.747379,-0.527571,0.30506,-2.691206,-2.298479,0.644549,0.383249,-1.731545,-0.642924,1.77216,0.628811,1.901993,0.516126
8644,0.775342,0.653219,1.005724,0.273196,-0.366368,0.531697,0.463114,0.059853,0.383249,1.027096,0.34389,-0.494373,0.409009,0.115675,-0.20881
8652,1.278677,0.653219,1.025551,0.354342,-0.606168,1.281688,0.865143,0.194449,3.726515,0.873839,3.304329,-0.455237,-2.351339,-0.437201,-0.553941
8655,-0.21609,0.653219,0.193917,0.370485,0.101831,-0.100628,0.136043,1.216963,-0.870475,-0.352224,-0.642924,-0.279863,0.628811,-0.461721,1.111386
8658,0.187075,0.653219,0.141922,-0.258507,0.256664,0.800247,-0.102184,-0.027898,-0.59187,0.414065,-0.642924,-0.343262,0.628811,1.292598,0.390843
8666,0.55306,0.653219,-0.095162,-0.598825,-0.723426,-0.259036,0.257096,-0.120017,-0.638304,0.720581,-0.642924,-0.454947,0.628811,-0.331717,-0.118488
8677,0.653603,0.653219,0.316904,-0.166402,-0.368074,-0.200559,-0.187608,0.172293,-0.406133,1.027096,0.34389,-0.466992,0.45803,0.050766,0.062968
8691,0.419554,0.653219,-0.121534,-0.769615,-0.395377,0.576708,0.678155,-0.097561,-0.452567,0.107549,-0.642924,-0.389598,0.628811,0.316914,0.380604
8693,0.017594,-0.327783,0.05767,0.036464,-0.329292,-0.849407,-0.951745,1.127564,-0.359699,-0.352224,-0.642924,-0.322613,0.628811,-1.029921,0.341514
8694,0.716701,0.653219,1.512192,0.65243,-0.561149,-0.090682,0.767903,0.071741,0.522552,0.873839,1.330703,-0.475208,0.23877,-0.277661,-0.038396
8696,0.608705,0.653219,0.206668,-0.426913,-0.244158,-0.080159,-1.00446,-0.233366,-0.824041,0.414065,-0.642924,-0.455175,0.628811,0.576546,0.078162
8703,0.970645,0.653219,1.250497,0.461173,-0.383859,0.888548,-0.35973,0.239813,-0.173962,0.873839,1.330703,-0.454543,-1.357095,-0.10574,0.467734
8712,0.475557,0.653219,-0.028112,-0.639963,-0.145082,0.243249,-1.160143,-0.086608,-0.359699,0.260807,-0.642924,-0.40926,0.628811,0.577274,0.114767
8732,1.064576,0.653219,0.828318,0.115383,-0.458857,0.805091,0.701821,0.134721,1.869145,1.027096,1.330703,-0.477236,-1.566274,-0.042352,0.18009
8735,-0.675621,0.653219,-1.169377,-0.144563,0.795964,0.057677,0.532092,0.194618,-0.290047,-0.65874,-0.642924,0.100299,0.628811,1.096182,-0.614732
8751,0.033116,-1.308786,-0.421005,-0.664461,-0.259802,0.414187,-0.231145,-0.051946,-0.359699,0.720581,-0.642924,-0.488005,0.628811,0.363349,-1.394537
8757,0.305906,0.653219,-0.719041,-1.185601,-1.047882,0.041236,0.90791,-1.156044,-0.777607,-0.045709,-0.642924,-0.357544,0.628811,-0.44575,0.557525
8769,0.569342,0.653219,0.110327,-0.36351,-0.259839,0.100746,-0.324034,0.061622,-0.731173,0.720581,-0.642924,-0.447788,0.628811,0.442052,-0.13142
8777,-2.703744,-2.289789,-0.155458,2.456199,2.995574,-3.191196,-2.468346,-2.177866,-0.59187,-1.884803,-0.642924,3.782548,0.628811,1.901993,0.094867
8783,-0.118283,0.162718,-0.222689,-0.67401,0.225275,0.824789,-0.162608,-0.543718,-0.545436,-0.505482,-0.642924,-0.222132,0.628811,1.901993,-0.340856
8784,0.283461,0.653219,-0.282129,-0.111292,0.385491,0.261314,0.117557,0.879521,-0.313264,0.414065,-0.642924,-0.404015,0.628811,0.52316,-0.212463
8806,-0.014348,0.653219,-0.677414,-1.067825,-0.373968,-0.161792,1.002133,-0.097517,-0.963344,-0.811998,-0.642924,-0.147358,0.628811,0.412853,0.169839
8812,-0.606381,0.653219,-0.696489,-0.878471,0.107827,-0.989388,-1.292518,-0.950187,-0.777607,-1.425029,-0.642924,0.484256,0.628811,1.901993,-1.182778
