"AGENCY_ID","log_n_train_rows","n_train_years_active","mean_log_wp_train","mean_log_prev_wp_train","mean_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train_clean","n_products_train","n_states_train","product_hhi","state_hhi","pl_share_train","slope_mean_log_wp_by_year","n_train_rows","has_trend_support","n_years_for_trend"
2913,4.36944785246702,7,7.77863992718326,7.92302162873906,2.00565110156728,1.79372183294572,2.573929536139,2.6141328181416,8,13,1,0.0834976988823143,1,0.423076923076923,-0.0603089233468287,78,TRUE,7
2914,4.17438726989564,5,7.75910577356737,9.31044200513278,4.70698494136259,1.635044421206,2.0781472075408,5.25035664756059,73,14,3,0.0888671875,0.61376953125,0.3125,0.183044840277342,64,TRUE,5
2938,5.38449506278909,7,8.32504005229401,8.56022503365027,1.9263311681295,2.41705490058245,3.51105284124556,3.02664084369075,25,22,4,0.0650470385865064,0.455541633927244,0.341013824884793,-0.101994135989881,217,TRUE,7
2945,3.43398720448515,5,7.01511465479947,8.48157241606836,4.260958918858,1.3519440289644,1.68101422367427,5.02708825470375,15,9,1,0.12,1,0.333333333333333,0.380339537375128,30,TRUE,5
2946,4.59511985013459,7,7.93637493412354,8.08559485976281,2.1676029111326,1.79973951973834,2.58055996176482,2.85953102626597,10,16,1,0.0689296126613911,1,0.438775510204082,-0.0678230762462755,98,TRUE,7
2970,2.83321334405622,3,6.68164552670916,8.78383439534957,5.81117952856973,1.31262074425521,1.33073459826786,5.32932044851596,10,7,1,0.1484375,1,0.375,-0.174954538013451,16,TRUE,3
2975,4.72738781871234,7,8.65149685609462,8.747695194783,2.62715197094176,2.07604947778201,3.20455582930986,3.22809595020281,16,19,1,0.0601084183673469,1,0.464285714285714,-0.0653635000259919,112,TRUE,7
3008,3.55534806148941,5,7.06946201028076,8.36669362243241,4.1747578545894,1.2631809365663,1.38951054270686,5.01814417437396,14,10,1,0.115916955017301,1,0.352941176470588,0.183711957980028,34,TRUE,5
3024,2.19722457733622,4,6.89637127548012,7.25712013934108,3.1778128164967,0.75742372190922,1.20806719896965,0.116143726701643,15.5,2,1,0.5,1,1,-0.492189795527122,8,TRUE,4
3031,1.6094379124341,4,6.61068359526773,2.87823136624256,2.87823136624256,1.67935743423265,1.40105878348254,5.75646273248511,8,3,1,0.375,1,0,-0.130193577320796,4,TRUE,4
3036,4.63472898822964,7,9.16631091026178,9.35562834727909,1.35305872717967,2.21871486273446,2.89980591667443,2.36862886780168,13,16,1,0.0668973471741638,1,0.313725490196078,-0.163843654307839,102,TRUE,7
3038,4.99721227376411,7,9.51380058976654,9.5073565302779,2.07164020317601,2.04446169716299,3.61238864695165,3.09213875483836,54,19,2,0.0665000694155213,0.659401175436161,0.353741496598639,0.00370686490547103,147,TRUE,7
3057,1.79175946922805,1,4.78848147154287,11.5129254649702,11.5129254649702,1.08746211752514,1.03337176679971,0,10,5,1,0.2,1,0,0,5,FALSE,1
3072,4.75359019110636,7,8.26187020609236,8.30764730160142,1.97149501073125,1.66805279002633,2.81339983492004,2.50213628568224,9,18,1,0.0596597353497164,1,0.452173913043478,0.00842987671727924,115,TRUE,7
3074,4.67282883446191,7,7.90884863260638,7.97290715474033,2.68466461421115,1.70061626682751,2.09902161739488,2.85829412596058,2,18,1,0.0621217515129939,1,0.547169811320755,-0.0253916409591889,106,TRUE,7
3076,3.43398720448515,4,7.83316215091736,9.0769829649849,3.45387763949107,1.42335760208296,1.47722960299412,5.36607784718792,4,9,1,0.126666666666667,1,0.0333333333333333,-0.0811074748458749,30,TRUE,4
3077,4.72738781871234,6,8.12577835775063,8.14909721575765,1.14215494733769,2.45988845483625,3.39385626362448,2.6274783757282,65,14,3,0.084343112244898,0.453603316326531,0.1875,-0.554290135679416,112,TRUE,6
3091,4.59511985013459,7,7.40867682569738,7.63619178505579,3.18814808070917,2.26723500026071,2.51737155713839,3.1657551929632,6,18,1,0.0676801332778009,1,0.602040816326531,-0.0584202008718578,98,TRUE,7
3095,5.06890420222023,7,8.60312437189634,8.79439526713782,2.60936063768291,2.17480696241673,3.47415902959724,3.17247577943916,22,22,4,0.0550392565294023,0.712946643166159,0.512658227848101,0.0238462516984961,158,TRUE,7
3096,4.7361984483945,7,8.86909438283853,9.50818189859582,1.97358576267291,1.99468753235317,3.16257633247313,4.11013544330179,70,16,4,0.0884172605529016,0.508497141514606,0.150442477876106,-0.325624992293895,113,TRUE,7
3101,2.484906649788,2,7.47291319110864,9.67029499931387,6.2797775263474,0.768868386182754,0.451409901708915,6.01242923440404,11,6,1,0.173553719008264,1,0,0,11,FALSE,2
3103,0.693147180559945,1,5.97380961186926,11.5129254649702,11.5129254649702,0,0,0,15.5,1,1,1,1,0,0,1,FALSE,1
3104,4.64439089914137,7,7.42002602443153,7.72623332006859,3.07503212649173,2.07884139972853,2.51050262693972,3.27781079865526,10,19,1,0.0626826279573947,1,0.592233009708738,-0.0364674267043403,103,TRUE,7
3112,4.86753445045558,7,8.64236391132444,8.7916623647149,2.76869624914817,2.09833435693044,3.08369575289958,3.20373816563139,11,21,1,0.0525809747010396,1,0.511627906976744,-0.0312367369105095,129,TRUE,7
3143,5.30330490805908,7,8.27242619398761,8.49658525195843,2.64985280222242,1.96184430011322,3.3795439347887,3.33446861059088,25,23,3,0.0536,0.55455,0.48,0.116374174141518,200,TRUE,7
3170,4.45434729625351,7,8.54583101822532,8.50941060553723,2.78772262924982,2.002316964562,2.12862583974514,3.43003894488209,18,15,1,0.0740484429065744,1,0.423529411764706,0.0275239996730251,85,TRUE,7
3171,2.63905732961526,1,7.8551743837382,11.5129254649702,11.5129254649702,1.81619105563546,2.30742294382418,0,15.5,13,1,0.0769230769230769,1,0.384615384615385,0,13,FALSE,1
3177,2.99573227355399,2,7.36191959190802,10.776176422557,9.65023315965227,2.0283284960285,3.55032902360634,3.80501406770833,16,13,2,0.0914127423822715,0.811634349030471,0.526315789473684,0,19,FALSE,2
3186,4.75359019110636,7,8.01564191268083,8.18471307787197,2.93074644367772,2.00116838054938,2.13838469777588,3.10887068690834,30,19,2,0.0593572778827977,0.965822306238185,0.573913043478261,0.0577610949447398,115,TRUE,7
3191,1.38629436111989,3,5.98772030141581,6.34177181007959,2.56494935746154,0.633389378293874,0.553890554964333,0,15.5,1,1,1,1,1,-0.543010153485604,3,TRUE,3
3211,4.90527477843843,7,8.30830448945608,8.57306227108304,2.87909310460186,2.11689357513747,2.4918818089149,3.35639497757026,11,17,3,0.0721764312764536,0.643461795500111,0.522388059701492,-0.11176454171903,134,TRUE,7
3212,4.27666611901606,6,8.81409515127837,9.4606141976719,3.08037496257467,1.36487723568397,1.39097605436527,4.60638739208533,12,14,2,0.0787542154334457,0.97222773259274,0.23943661971831,0.143004847649952,71,TRUE,6
3246,5.07517381523383,7,8.1344119728438,8.38973173813157,3.30371359664004,2.13705236864278,2.70626319654526,3.22689524348222,39,23,2,0.0569202167635774,0.701752304101895,0.635220125786163,-0.0352040765407271,159,TRUE,7
3262,1.6094379124341,1,7.91183281448056,8.59514444843766,4.60349377784194,1.64820224360934,2.01797348416859,1.27101244961902,6,4,1,0.25,1,1,0,4,FALSE,1
3268,3.61091791264422,5,7.39810410386785,8.62864092566616,4.00288618556754,1.60301432869929,1.91704252332985,5.14268924492418,14,11,1,0.0925925925925926,1,0.277777777777778,-0.518466129907245,36,TRUE,5
3275,4.48863636973214,7,9.42990438304166,9.52220268500212,1.1350961682432,2.50134383770781,3.88916087694318,2.66822410606032,59,14,3,0.0826446280991736,0.870609504132231,0.215909090909091,0.0686167438632967,88,TRUE,7
3278,3.43398720448515,3,7.43554668372296,9.58708622679859,6.99046814193243,1.84652898741383,2.53088152506594,5.02946540353358,31,14,2,0.0866666666666667,0.82,0.666666666666667,0.642491117270768,30,TRUE,3
3303,4.79579054559674,7,7.80220323992229,8.07280358357603,2.25934787156735,2.09628434259317,2.94987455050457,3.03204847187478,20,18,2,0.0573611111111111,0.95125,0.408333333333333,-0.0847635436411263,120,TRUE,7
3311,4.67282883446191,7,8.07998947322373,8.14580822986155,2.56405510025977,1.54643240271126,1.95370311178044,3.25107846823334,8,18,1,0.0626557493770025,1,0.471698113207547,0.0169875846880991,106,TRUE,7
3318,4.8283137373023,7,8.01808680201709,8.1658900703623,2.8951128563757,1.70052308766375,1.55394833234257,3.07640521417076,16,22,1,0.0545005202913632,1,0.540322580645161,-0.00378915804639721,124,TRUE,7
3325,4.46590811865458,7,7.64779085496964,7.66026069387339,2.62387891573811,2.0850747484854,2.32276880325969,2.72521161254557,18,13,1,0.0800432666306111,1,0.569767441860465,0.0312013992226742,86,TRUE,7
3326,4.68213122712422,7,8.12641597067434,8.52595423470756,3.289325879167,2.00562721710063,1.81110621643209,3.24934683253596,13,20,1,0.0596558651410603,1,0.579439252336449,-0.207822325685344,107,TRUE,7
3332,4.49980967033027,7,7.71461070224784,8.15362719034173,3.2806925995379,2.19211818966206,2.54901510940286,3.40428955376827,19,15,2,0.0783991920212094,0.893952783739427,0.561797752808989,-0.0148268065135804,89,TRUE,7
