"AGENCY_ID","log_n_train_rows","n_train_years_active","n_train_rows","has_trend_support","n_years_for_trend","mean_log_wp_train","median_log_wp_train","mean_log_prev_wp_train","median_log_prev_wp_train","mean_log_prev_poly_train","median_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train","agency_appointment_year","mean_max_age_train","mean_min_age_train","n_products_train","n_states_train","n_vendors_train","top_product_share","product_hhi","top_state_share","state_hhi","top_vendor_share","vendor_hhi","pl_share_train","cl_share_train","slope_mean_log_wp_by_year"
8003,4.92725368515721,7,137,TRUE,7,8.68999355143079,8.57376254290413,8.83775624399737,8.69868106746161,1.44566379851861,0,1.97293970492543,3.23164258321383,2.80603402885109,35,1989,84,33,16,3,1,0.102189781021898,0.0752837125046619,0.722627737226277,0.595183547338697,1,1,0.255474452554745,0.744525547445255,-0.0181037915546715
8005,3.46573590279973,4,31,TRUE,4,7.48500142115319,7.59378217034067,8.81983928465802,10.1680616811465,4.82800100143913,0,2.22325930676568,3.39953321246415,5.77500211295392,72,2006,74,34,10,3,1,0.161290322580645,0.115504682622268,0.774193548387097,0.637877211238293,1,1,0,1,0.173722097580319
8008,4.59511985013459,7,98,TRUE,7,10.0750442926545,10.6326104293932,10.2124318547018,10.7580881367506,2.01256462334208,0,1.85634476695065,2.59166506384869,2.98129421807529,107,2002,72,35,16,1,1,0.0714285714285714,0.0685131195335277,1,1,1,1,0.357142857142857,0.642857142857143,-0.0332726520873354
8009,2.07944154167984,3,7,TRUE,3,8.52027552384602,8.5691060938071,9.74218113467498,8.97921253088287,7.10650983650084,4.60517018598809,0.508545605682545,0.843243374104427,4.15277425507901,12,2010,59,33,3,1,1,0.428571428571429,0.387755102040816,1,1,1,1,1,0,0.303862955737037
8017,3.87120101090789,6,47,TRUE,6,7.11152073823439,7.21081845347222,7.59600235218766,7.88269220628903,0.824805658668707,0,1.73745269845387,2.60752786774686,1.65406254622431,26,1991,82,51,14,1,1,0.106382978723404,0.0765052059755545,1,1,1,1,0.212765957446809,0.787234042553192,-0.429304129144915
8032,4.44265125649032,5,84,TRUE,5,8.02384678339598,7.46146076224436,8.79666687325225,8.82920479951373,4.22999562508249,2.80473589759248,1.90130482810054,2.82958239910012,4.40412787799989,16,2008,69,43,18,1,1,0.0595238095238095,0.0578231292517007,1,1,1,1,0.535714285714286,0.464285714285714,0.034237632563686
8039,2.19722457733622,7,8,TRUE,7,10.28743798248,10.7322157225449,10.8967591115186,10.8225108097888,7.04354419222148,6.429542547675,1.22856766625314,0.326155962152674,1.81308831869264,2,1981,68,61,2,1,1,0.875,0.78125,1,1,1,1,1,0,-0.254039659681274
8041,1.79175946922805,4,5,TRUE,4,6.78177256469885,6.45519856334012,8.4534845035878,6.45519856334012,6.04703823730867,2.56494935746154,0.769810675339428,0.0901230618382103,4.99358478060858,5,2004,69,38,2,1,1,0.8,0.68,1,1,1,1,1,0,-0.221163270958649
8043,2.19722457733622,4,8,TRUE,4,6.34727677691725,6.31827379210123,7.61264464111641,6.49724377522388,4.55796277376682,2.56494935746154,0.264457905650039,0.417783730836048,4.31513587311616,7,2007,71,32,2,1,1,0.5,0.5,1,1,1,1,1,0,0.0601047123640615
8047,3.46573590279973,2,31,FALSE,2,8.43775885532189,8.33254893925264,10.1198739727245,11.5129254649702,6.939843413117,11.5129254649702,1.7898450103226,2.86249238113539,5.51496856590073,22,2011,68,28,18,1,1,0.0645161290322581,0.0593132154006243,1,1,1,1,0.387096774193548,0.612903225806452,NA
8050,5.03043792139244,7,152,TRUE,7,8.38438524916099,8.23897126060785,8.53587634306195,8.39941416130131,3.7435525493211,4.20290730171642,2.17407679360225,1.98577901811637,3.24140913255906,8,1967,79,43,21,2,1,0.0921052631578947,0.061547783933518,0.802631578947368,0.683171745152355,1,1,0.671052631578947,0.328947368421053,-0.0190000051602091
8079,4.70048036579242,7,109,TRUE,7,7.76245648104161,7.24286945099378,7.96421168359776,7.39498468889294,2.57408605872303,2.56494935746154,1.79715886613075,2.66292050192441,2.95331839694919,7,1978,94,62,18,1,1,0.0642201834862385,0.0603484555172124,1,1,1,1,0.522935779816514,0.477064220183486,-0.113239383639027
8088,4.58496747867057,7,97,TRUE,7,7.86693325214296,7.68378574433828,8.32623659436218,7.9079753097858,3.23908089275548,3.63758615972639,2.16007533351478,2.35893936850813,3.28486581257848,16,1972,71,33,20,1,1,0.0721649484536082,0.0662132001275375,1,1,1,1,0.56701030927835,0.43298969072165,0.00237190283920269
8089,3.78418963391826,7,43,TRUE,7,6.8653571937796,6.59578051396131,7.3189939971246,7.91862865334224,3.39932472616087,4.57471097850338,2.52774794052446,4.56691672519764,3.44789991098146,13,2004,76,33,7,1,1,0.162790697674419,0.159545700378583,1,1,1,1,0.511627906976744,0.488372093023256,-0.00107367585507365
8091,2.77258872223978,2,15,FALSE,2,6.91259175888137,6.83654924597322,7.7997654837785,7.68517926767075,4.10640887881616,3.89182029811063,2.07847846560635,2.48156973553768,1.1241331581337,11,2004,59,36,6,2,1,0.266666666666667,0.182222222222222,0.8,0.68,1,1,1,0,NA
8092,3.46573590279973,5,31,TRUE,5,8.20082383496075,7.51635168913918,9.01655355980726,9.38216536542583,5.98235380802605,5.02388052084628,2.10633011081032,3.74439603557774,3.4204490402729,15,2006,70,33,7,1,1,0.161290322580645,0.144640998959417,1,1,1,1,1,0,0.0317721716870251
8102,4.85981240436167,7,128,TRUE,7,8.52725535260319,8.58355391882645,8.59785424840644,8.63651587464559,2.93884460899535,3.2188758248682,2.06869703287179,2.66900857774318,3.04357420207499,6,1961,79,50,20,1,1,0.0546875,0.053955078125,1,1,1,1,0.5625,0.4375,-0.0213280378929176
8104,4.70953020131233,7,110,TRUE,7,8.71367938750652,8.58053227958063,9.04538115733536,9.29822958468701,1.77927029913176,0,2.7521820743084,4.28534519124911,4.18063292390342,19,2005,69,36,11,2,1,0.127272727272727,0.111074380165289,0.6,0.52,1,1,0.00909090909090909,0.990909090909091,0.0814162441538584
8125,4.63472898822964,7,102,TRUE,7,9.0493613210872,9.93738189381503,9.1884351844933,10.1569649797365,1.50792518450016,0,2.0786733123153,2.43331356084867,2.32561547834079,34,1982,70,29,16,2,1,0.0784313725490196,0.0651672433679354,0.980392156862745,0.961553248750481,1,1,0.333333333333333,0.666666666666667,-0.153484286607094
8127,4.90527477843843,7,134,TRUE,7,8.78586646391679,8.40572257605004,8.92154879567004,8.66532486432763,2.8393058042495,2.56494935746154,2.053586061135,2.56655239808483,3.0634873956395,42,1992,85,32,21,1,1,0.0522388059701493,0.0512363555357541,1,1,1,1,0.537313432835821,0.462686567164179,-0.0776318242295338
8133,2.07944154167984,1,7,FALSE,1,6.73840450754033,6.39859493453521,11.5129254649702,11.5129254649702,11.5129254649702,11.5129254649702,1.48900659424279,2.51406619015213,0,29,2012,75,25,7,1,1,0.142857142857143,0.142857142857143,1,1,1,1,0,1,NA
8136,3.55534806148941,7,34,TRUE,7,6.10072298866735,5.43628535726606,7.29096178843798,6.67174201802506,4.41690459618567,3.45337738932428,1.88354826773625,3.60367972412867,3.31204842090056,99999,99999,99999,99999,10,1,1,0.205882352941176,0.145328719723183,1,1,1,1,0.764705882352941,0.235294117647059,-0.286666003236592
8145,0.693147180559945,1,1,FALSE,1,6.93537044601511,6.93537044601511,11.5129254649702,11.5129254649702,11.5129254649702,11.5129254649702,NA,0,NA,17,2012,66,24,1,1,1,1,1,1,1,1,1,1,0,NA
8149,4.79579054559674,7,120,TRUE,7,7.77657463213243,7.75731103506312,8.05492606225906,8.07147378591703,3.13991516698418,3.2188758248682,1.73039268398951,2.2465860346682,3.15569587442772,6,2001,48,48,16,3,1,0.175,0.0940277777777778,0.7,0.535,1,1,0.583333333333333,0.416666666666667,0.00997986081248243
8150,4.70048036579242,7,109,TRUE,7,8.91722861980514,9.43738271312238,9.18880001992602,9.67464780867704,2.54365964132754,0,2.23735286283185,3.71421604751983,3.3072010793498,24,1983,81,31,21,1,1,0.0642201834862385,0.0584967595320259,1,1,1,1,0.477064220183486,0.522935779816514,-0.0952832083903843
